City_ID,City,Latitude,Longitude,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
80,City of San Pedro,14.35,121.0167,28.53,87,80,2.98,PH,1663081395
81,Saint-Philippe,-21.3585,55.7679,21.77,72,56,2,RE,1663081552
82,Thompson,55.7435,-97.8558,7.85,52,57,1.89,CA,1663081552
83,Yar-Sale,66.8333,70.8333,5.32,80,97,2.63,RU,1663081553
84,Itarema,-2.9248,-39.9167,31.45,51,10,8,BR,1663081553
85,Strezhevoy,60.7333,77.5889,7.5,83,97,3.87,RU,1663081553
86,Chokurdakh,70.6333,147.9167,0.54,86,34,2.72,RU,1663081554
87,Hasaki,35.7333,140.8333,24.22,91,100,1.33,JP,1663081276
88,Carnarvon,-24.8667,113.6333,18.8,60,0,6.91,AU,1663081541
89,Cabo San Lucas,22.8909,-109.9124,29.47,81,20,1.03,MX,1663081554
90,Sørland,67.667,12.6934,10.92,76,100,11.53,NO,1663081554
91,Gigmoto,13.7796,124.39,27.12,85,99,2.26,PH,1663081555
92,Busselton,-33.65,115.3333,13.07,53,84,8.11,AU,1663081261
93,Hermanus,-34.4187,19.2345,20.45,60,0,6.57,ZA,1663081556
94,Tuktoyaktuk,69.4541,-133.0374,1.63,81,100,7.82,CA,1663081556
95,Cockburn Town,21.4612,-71.1419,29.02,72,3,6.53,TC,1663081556
96,Tempio Pausania,40.8974,9.1035,27.51,35,7,2.72,IT,1663081556
97,Takoradze,4.8845,-1.7554,25.12,83,87,5.21,GH,1663081557
98,Vostok,46.4856,135.8833,3.26,96,13,0.41,RU,1663081557
99,Sola,-13.8833,167.55,26.51,74,0,6.15,VU,1663081558
100,Torbay,47.6666,-52.7314,15.42,98,100,8.23,CA,1663081558
101,Ilulissat,69.2167,-51.1,8.01,76,75,4.12,GL,1663081559
102,Castro,-24.7911,-50.0119,21.01,76,84,3.97,BR,1663081559
103,Teacapan,22.55,-105.75,24.18,89,100,1.04,MX,1663081559
104,Torit,4.4133,32.5678,21.2,97,100,1.64,SS,1663081560
105,Avarua,-21.2078,-159.775,22.03,83,27,3.6,CK,1663081560
106,Tasiilaq,65.6145,-37.6368,4.09,85,49,1.25,GL,1663081560
107,Departamento de Maldonado,-34.6667,-54.9167,14.66,63,11,4.78,UY,1663081561
108,San Patricio,28.017,-97.5169,29.97,65,9,2.24,US,1663081561
109,Pisco,-13.7,-76.2167,18.9,68,20,4.63,PE,1663081562
110,Atuona,-9.8,-139.0333,24.37,68,2,5.99,PF,1663081562
111,Deer Lake,49.1667,-57.4316,20.92,64,20,1.03,CA,1663081562
112,Kargasok,59.0556,80.8572,4.68,81,68,3.28,RU,1663081563
113,Władysławowo,54.7909,18.4009,16.75,73,88,7,PL,1663081563
114,Shakiso,5.75,38.9167,19.33,69,100,1.22,ET,1663081563
115,Lebu,-37.6167,-73.65,13.15,62,17,2.28,CL,1663081563
116,College,64.8569,-147.8028,7.55,90,75,3.6,US,1663081564
117,Gari,59.4307,62.3497,7.7,78,49,2.68,RU,1663081564
118,Athabasca,54.7169,-113.2854,10.49,45,94,3.3,CA,1663081564
119,Netivot,31.4222,34.5886,28.67,59,0,5.03,IL,1663081565
120,Kaitangata,-46.2817,169.8464,2.24,92,97,3.93,NZ,1663081566
121,Vega de Alatorre,20.0333,-96.6333,27.68,68,60,3.37,MX,1663081566
122,Quelimane,-17.8786,36.8883,24.58,68,1,4.4,MZ,1663081566
123,Teguise,29.0605,-13.564,23.12,83,40,4.63,ES,1663081567
124,Naze,28.3667,129.4833,26.51,85,40,7.67,JP,1663081567
125,Tupik,54.4253,119.9327,9.93,88,100,2.79,RU,1663081568
126,Dingle,10.9995,122.6711,24.68,89,83,1.65,PH,1663081568
127,Narsaq,60.9167,-46.05,10.12,52,6,2.09,GL,1663081568
128,Hualmay,-11.0964,-77.6139,17.04,75,76,4.03,PE,1663081569
129,Marsá Maţrūḩ,31.3525,27.2453,27.23,59,0,3.85,EG,1663081569
130,Chute-aux-Outardes,49.1168,-68.399,14.99,100,100,3.6,CA,1663081569
131,Dhidhdhoo,6.8833,73.1,27.38,80,78,3.23,MV,1663081536
132,Garça,-22.2106,-49.6561,29.98,34,85,1.94,BR,1663081570
133,São João da Barra,-21.6403,-41.0511,24.1,71,21,6.39,BR,1663081571
134,Noshiro,40.2039,140.0242,19.88,71,98,3.66,JP,1663081571
135,San Policarpo,12.1791,125.5072,25.91,86,77,2.35,PH,1663081571
136,Hilo,19.7297,-155.09,25.16,92,75,2.57,US,1663081572
137,Portland,45.5234,-122.6762,17.67,81,100,0.89,US,1663081572
138,Herrin,37.8031,-89.0276,22.12,60,0,2.06,US,1663081572
139,Tuatapere,-46.1333,167.6833,4.52,87,100,1.68,NZ,1663081573
140,Saldanha,-33.0117,17.9442,16.56,70,3,6.62,ZA,1663081573
141,Praia da Vitória,38.7333,-27.0667,24.31,88,90,0.37,PT,1663081573
142,Grand Gaube,-20.0064,57.6608,21.32,74,53,1.34,MU,1663081574
143,Touros,-5.1989,-35.4608,28.43,67,66,7.41,BR,1663081574
144,Nikolskoye,59.7035,30.7861,15.51,62,66,2.84,RU,1663081575
145,Clyde River,70.4692,-68.5914,4.1,92,100,1.89,CA,1663081381
146,Sisian,39.5256,46.0251,21.81,29,1,0.81,AM,1663081575
147,Luwuk,-0.9516,122.7875,24.06,88,34,2.57,ID,1663081576
148,Talāja,21.35,72.05,26.34,89,100,3.05,IN,1663081577
149,Cizre,37.3272,42.1903,35.56,16,20,5.14,TR,1663081577
150,Hay River,60.8156,-115.7999,9.23,55,3,3,CA,1663081578
151,Santa Cruz de Tenerife,28.4682,-16.2546,27.78,70,20,4.63,ES,1663081578
152,Coyhaique,-45.5752,-72.0662,10.34,76,100,4.12,CL,1663081580
153,Kiryat Gat,31.61,34.7642,29.11,100,0,4.92,IL,1663081580
154,Kafanchan,9.5833,8.3,24.54,82,99,2.77,NG,1663081580
155,Geraldton,-28.7667,114.6,15.23,72,100,4.12,AU,1663081581
